Rank,FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,PlayerID,FantasyPointsHalfPointPpr,FantasyPointsPerGameHalfPointPPR,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingTargets,ReceivingYards,ReceptionPercentage,ReceivingTouchdowns,ReceivingYardsPerTarget,ReceivingYardsPerReception
137,Mohamed,Sanu,CIN,WR,164.7,2013,WR2,17.41,164.7,False,13878,81.6,5.1,16,4.0,16.0,4.0,0.0,47.0,77.0,455.0,61.0,2.0,5.9,9.7
138,Roy,Helu,WAS,RB,164.92,2013,RB2,13.93,164.92,False,13163,92.0,5.8,16,62.0,274.0,4.4,4.0,31.0,42.0,251.0,73.8,0.0,6.0,8.1
140,Brandon,LaFell,CAR,WR,167.16,2013,WR2,70.81,167.16,False,11463,118.7,7.4,16,2.0,15.0,7.5,0.0,49.0,85.0,627.0,57.6,5.0,7.4,12.8
141,Kendall,Hunter,SFO,RB,169.17,2013,RB3,32.83,165.84,False,13440,54.1,3.4,16,78.0,358.0,4.6,3.0,2.0,4.0,13.0,50.0,0.0,3.2,6.5
142,Greg,Little,CLE,WR,169.57,2013,WR2,100.39,169.57,False,12874,79.0,4.9,16,0.0,0.0,0.0,0.0,41.0,99.0,465.0,41.4,2.0,4.7,11.3
143,Jacoby,Jones,BAL,WR,171.15,2013,WR2,57.86,171.15,False,5100,76.0,6.3,12,2.0,0.0,0.0,0.0,37.0,67.0,455.0,55.2,2.0,6.8,12.3
144,Zach,Miller,SEA,TE,172.08,2013,TE1,172.08,,False,4484,85.2,6.1,14,0.0,0.0,0.0,0.0,33.0,56.0,387.0,58.9,5.0,6.9,11.7
145,Zac,Stacy,STL,RB,172.74,2013,RB3,78.88,152.65,False,15221,170.4,12.2,14,250.0,973.0,3.9,7.0,26.0,35.0,141.0,74.3,1.0,4.0,5.4
146,Joseph,Randle,DAL,RB,173.21,2013,RB2,36.73,173.21,False,15085,38.5,3.0,13,54.0,164.0,3.0,2.0,8.0,10.0,61.0,80.0,0.0,6.1,7.6
147,Daniel,Thomas,MIA,RB,173.45,2013,RB2,52.37,173.45,False,12762,90.4,6.0,15,109.0,406.0,3.7,4.0,15.0,17.0,63.0,88.2,2.0,3.7,4.2
