FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity,Age,GamesPlayed,PointsPPR,PointsHalfPPR,PPG_PPR,PPG_HalfPPR,RushAtt,RushYds,RushYardsPerAtt,RushTD,Tgts,TgtsPerGame,Receptions,RecYds,YardsPerRec,RecTD
Jordan,Cameron,CLE,TE,124.18,2013,TE1,124.18,,False,25,15,213.7,173.7,14.25,11.58,0,0,,0,118.0,7.87,80,917,11.46,7
Ronnie,Hillman,DEN,RB,124.89,2013,RB2,62.24,124.89,False,22,10,49.7,43.7,4.97,4.37,55,218,3.96,1,14.0,1.4,12,119,9.92,0
Michael,Floyd,ARI,WR,127.07,2013,WR2,29.91,127.07,False,24,16,199.1,166.6,12.44,10.41,0,0,,0,113.0,7.06,65,1041,16.02,5
Bryce,Brown,PHI,RB,127.37,2013,RB2,11.0,127.37,False,22,16,61.8,57.8,3.86,3.61,75,314,4.19,2,13.0,0.81,8,84,10.5,0
Emmanuel,Sanders,PIT,WR,128.59,2013,WR2,64.37,128.59,False,26,16,181.5,148.0,11.34,9.25,1,25,25.0,0,113.0,7.06,67,740,11.04,6
Bernard,Pierce,BAL,RB,130.8,2013,RB2,8.7,130.8,False,22,16,86.0,76.0,5.38,4.75,152,436,2.87,2,25.0,1.56,20,104,5.2,0
Fred,Jackson,BUF,RB,131.07,2013,RB2,9.31,131.07,False,32,16,234.7,211.2,14.67,13.2,206,890,4.32,9,65.0,4.06,47,387,8.23,1
Alshon,Jeffery,CHI,WR,131.71,2013,WR2,22.96,131.71,False,23,16,283.6,239.1,17.73,14.94,16,105,6.56,0,148.0,9.25,89,1421,15.97,7
Martellus,Bennett,CHI,TE,133.6,2013,TE1,133.6,,False,26,16,168.9,136.4,10.56,8.52,0,0,,0,94.0,5.88,65,759,11.68,5
Jonathan,Stewart,CAR,RB,135.03,2013,RB2,89.23,135.03,False,26,6,29.4,25.9,4.9,4.32,48,180,3.75,0,7.0,1.17,7,44,6.29,0
Brandon,Pettigrew,DET,TE,136.04,2013,TE1,136.04,,False,28,14,92.6,72.1,6.61,5.15,0,0,,0,63.0,4.5,41,416,10.15,2
Denarius,Moore,OAK,WR,136.48,2013,WR1,136.48,196.79,False,25,13,145.5,122.5,11.19,9.42,0,0,,0,86.0,6.62,46,695,15.11,5
Brandon,Myers,NYG,TE,136.98,2013,TE1,136.98,,False,28,16,123.2,99.7,7.7,6.23,0,0,,0,76.0,4.75,47,522,11.11,4
Danny,Woodhead,SDG,RB,140.72,2013,RB2,63.27,140.72,False,28,16,223.4,185.4,13.96,11.59,106,429,4.05,2,88.0,5.5,76,605,7.96,6
Fred,Davis,WAS,TE,142.52,2013,TE1,142.52,,False,27,10,20.0,16.5,2.0,1.65,0,0,,0,18.0,1.8,7,70,10.0,1
Jacquizz,Rodgers,ATL,RB,143.75,2013,RB2,21.72,143.75,False,23,15,141.3,115.3,9.42,7.69,96,332,3.46,2,63.0,4.2,52,341,6.56,2
Pierre,Thomas,NOR,RB,144.17,2013,RB3,46.78,97.24,True,29,16,211.2,172.7,13.2,10.79,147,549,3.73,2,84.0,5.25,77,513,6.66,3
Cordarrelle,Patterson,MIN,WR,144.59,2013,WR2,87.12,144.59,False,22,16,161.7,139.2,10.11,8.7,12,158,13.17,3,77.0,4.81,45,469,10.42,4
Jermaine,Gresham,CIN,TE,145.15,2013,TE1,145.15,154.23,False,25,14,109.8,86.8,7.84,6.2,0,0,,0,68.0,4.86,46,458,9.96,4
Mikel,Leshoure,DET,RB,146.47,2013,RB2,31.18,146.47,False,23,3,0.9,0.9,0.3,0.3,2,9,4.5,0,0.0,0.0,0,0,,0
Knowshon,Moreno,DEN,RB,150.15,2013,RB3,62.24,124.89,False,26,16,296.6,266.6,18.54,16.66,241,1038,4.31,10,74.0,4.62,60,548,9.13,3
Michael,Bush,CHI,RB,151.77,2013,RB2,17.02,151.77,False,29,15,52.5,50.5,3.5,3.37,63,197,3.13,3,8.0,0.53,4,48,12.0,1
Kendall,Wright,TEN,WR,151.96,2013,WR2,105.65,151.96,False,24,16,213.9,166.9,13.37,10.43,0,0,,0,139.0,8.69,94,1079,11.48,2
Jonathan,Dwyer,PIT,RB,152.33,2013,RB2,83.64,152.33,False,24,15,34.1,30.1,2.27,2.01,49,197,4.02,0,11.0,0.73,8,64,8.0,0
Isaiah,Pead,STL,RB,152.65,2013,RB2,78.88,152.65,False,24,10,22.9,17.4,2.29,1.74,7,21,3.0,0,15.0,1.5,11,78,7.09,0
Ryan,Broyles,DET,WR,152.93,2013,WR2,8.99,152.93,False,25,6,16.5,12.5,2.75,2.08,0,0,,0,14.0,2.33,8,85,10.63,0
Brian,Hartline,MIA,WR,153.83,2013,WR2,64.45,153.83,False,27,16,201.6,163.6,12.6,10.22,0,0,,0,133.0,8.31,76,1016,13.37,4
Rueben,Randle,NYG,WR,154.1,2013,WR3,36.26,57.44,True,22,16,136.1,115.6,8.51,7.22,0,0,,0,78.0,4.88,41,611,14.9,6
Tyler,Eifert,CIN,TE,154.23,2013,TE2,145.15,154.23,False,23,15,95.5,76.0,6.37,5.07,0,0,,0,60.0,4.0,39,445,11.41,2
Darrius,HeywardBey,IND,WR,154.43,2013,WR3,50.59,77.35,True,26,16,70.5,56.0,4.41,3.5,3,26,8.67,0,64.0,4.0,29,309,10.66,1
Joique,Bell,DET,RB,156.35,2013,RB3,31.18,146.47,False,27,16,216.7,190.2,13.54,11.89,166,650,3.92,8,69.0,4.31,53,547,10.32,0
Christine,Michael,SEA,RB,157.24,2013,RB2,7.64,157.24,False,23,4,7.9,7.9,1.98,1.98,18,79,4.39,0,0.0,0.0,0,0,,0
Shonn,Greene,TEN,RB,158.92,2013,RB2,21.51,158.92,False,28,11,63.4,60.4,5.76,5.49,77,295,3.83,4,8.0,0.73,6,39,6.5,0
Johnathan,Franklin,GNB,RB,160.06,2013,RB2,49.06,160.06,False,24,11,21.7,19.7,1.97,1.79,19,107,5.63,1,5.0,0.45,4,30,7.5,0
Bilal,Powell,NYJ,RB,160.6,2013,RB2,80.59,160.6,False,25,16,140.1,122.1,8.76,7.63,176,697,3.96,1,57.0,3.56,36,272,7.56,0
Julius,Thomas,DEN,TE,160.66,2013,TE1,160.66,208.31,False,25,14,215.8,183.3,15.41,13.09,0,0,,0,90.0,6.43,65,788,12.12,12
Malcom,Floyd,SDG,WR,162.1,2013,WR2,124.11,162.1,False,32,2,20.9,17.9,10.45,8.95,0,0,,0,11.0,5.5,6,149,24.83,0
Coby,Fleener,IND,TE,162.1,2013,TE1,162.1,177.66,False,25,16,140.8,114.8,8.8,7.18,0,0,,0,87.0,5.44,52,608,11.69,4
Heath,Miller,PIT,TE,163.1,2013,TE1,163.1,,False,31,14,121.3,92.3,8.66,6.59,0,0,,0,79.0,5.64,58,593,10.22,1
Aaron,Dobson,NWE,WR,164.32,2013,WR3,49.89,118.1,False,22,12,112.9,94.4,9.41,7.87,0,0,,0,72.0,6.0,37,519,14.03,4
Mohamed,Sanu,CIN,WR,164.7,2013,WR2,17.41,164.7,False,24,16,105.1,81.6,6.57,5.1,4,16,4.0,0,77.0,4.81,47,455,9.68,2
Roy,Helu,WAS,RB,164.92,2013,RB2,13.93,164.92,False,25,16,107.5,92.0,6.72,5.75,62,274,4.42,4,42.0,2.62,31,251,8.1,0
LaMichael,James,SFO,RB,165.84,2013,RB2,32.83,165.84,False,24,10,9.5,8.5,0.95,0.85,12,59,4.92,0,3.0,0.3,2,16,8.0,0
Brandon,LaFell,CAR,WR,167.16,2013,WR2,70.81,167.16,False,27,16,143.2,118.7,8.95,7.42,2,15,7.5,0,85.0,5.31,49,627,12.8,5
Kendall,Hunter,SFO,RB,169.17,2013,RB3,32.83,165.84,False,25,16,61.1,60.1,3.82,3.76,78,358,4.59,3,4.0,0.25,2,13,6.5,0
Greg,Little,CLE,WR,169.57,2013,WR2,100.39,169.57,False,24,16,99.5,79.0,6.22,4.94,0,0,,0,99.0,6.19,41,465,11.34,2
Jacoby,Jones,BAL,WR,171.15,2013,WR2,57.86,171.15,False,29,12,100.5,82.0,8.38,6.83,2,0,0.0,0,68.0,5.67,37,455,12.3,2
